2011-04-06T06:18:00+09:00,W0000A11,nil
2011-04-06T06:23:00+09:00,W0800A00,nil
2011-04-06T08:00:00+09:00,W0000A03,nil
2011-04-06T08:05:00+09:00,W0000A00,nil
2011-04-06T08:06:00+09:00,W0000A05,nil
2011-04-06T08:11:00+09:00,W0000A00,nil
2011-04-06T08:12:00+09:00,W0000A09,nil
2011-04-06T08:16:59+09:00,W0000A00,nil
2011-04-06T08:18:00+09:00,W0000A11,nil
2011-04-06T08:23:00+09:00,W0800A00,nil
2011-04-06T10:00:00+09:00,W0000A03,nil
2011-04-06T10:05:00+09:00,W0000A00,nil
2011-04-06T10:06:00+09:00,W0000A05,nil
2011-04-06T10:11:00+09:00,W0000A00,nil
2011-04-06T10:12:00+09:00,W0000A09,nil
2011-04-06T10:17:00+09:00,W0000A00,nil
2011-04-06T10:18:00+09:00,W0000A11,nil
2011-04-06T10:23:00+09:00,W0800A00,nil
2011-04-06T11:00:00+09:00,W0000A03,nil
2011-04-06T11:05:00+09:00,W0000A00,nil
2011-04-06T11:06:00+09:00,W0000A05,nil
2011-04-06T11:11:00+09:00,W0000A00,nil
2011-04-06T11:12:00+09:00,W0000A09,nil
2011-04-06T11:17:00+09:00,W0000A00,nil
2011-04-06T11:18:00+09:00,W0000A11,nil
2011-04-06T11:23:00+09:00,W0800A00,nil
2011-04-06T12:00:00+09:00,W0000A03,nil
2011-04-06T12:05:00+09:00,W0000A00,nil
2011-04-06T12:06:00+09:00,W0000A05,nil
2011-04-06T12:11:00+09:00,W0000A00,nil
2011-04-06T12:12:00+09:00,W0000A09,nil
2011-04-06T12:17:00+09:00,W0000A00,nil
2011-04-06T12:18:00+09:00,W0000A11,nil
2011-04-06T12:23:00+09:00,W0800A00,nil
2011-04-06T12:34:56+09:00,W0800A00,nil
2011-04-06T12:34:58+09:00,W0800000,nil
2011-04-06T12:36:59+09:00,W0800800,"R0FFFFFF\r"
2011-04-06T12:38:38+09:00,W0801800,false
2011-04-06T12:38:54+09:00,W0800800,"R0FFFFFF\r"
2011-04-06T12:39:44+09:00,W0801800,false
2011-04-06T12:55:00+09:00,W0800800,"R0FFFFFF\r"
2011-04-06T14:00:00+09:00,W0000803,"R0FFFFFF\r"
2011-04-06T14:00:01+09:00,W0000800,"R0FFFFFF\r"
2011-04-06T14:23:01+09:00,W0800800,false
2011-04-06T15:00:00+09:00,W0800000,false
2011-04-06T15:00:40+09:00,W0801000,false
2011-04-06T16:00:00+09:00,W0000003,false
2011-04-06T16:00:04+09:00,W0000000,"R0FFFFFF\r"
2011-04-06T16:00:41+09:00,W0001000,"R0FFFFFF\r"
2011-04-06T16:23:00+09:00,W0801000,"R0FFFFFF\r"
2011-04-06T16:39:24+09:00,W0800000,"R0FFFFFF\r"
2011-04-06T16:40:05+09:00,W0801000,false
2011-04-06T17:00:00+09:00,W0800000,false
2011-04-06T21:46:00+09:00,W0800005,nil
2011-04-06T21:46:49+09:00,W0800015,nil
2011-04-06T21:53:30+09:00,W0800A15,nil
2011-04-07T06:00:00+09:00,W0000A15,false
2011-04-07T06:01:05+09:00,W0000015,"R0FFFFFF\r"
2011-04-07T06:02:15+09:00,W0000000,"R0FFFFFF\r"
2011-04-07T06:04:58+09:00,W0000003,false
2011-04-07T06:05:02+09:00,W0000000,"R0FFFFFF\r"
2011-04-07T06:23:00+09:00,W0800000,false
2011-04-07T08:00:00+09:00,W0000003,"R0FFFFFF\r"
2011-04-07T08:00:02+09:00,W0000000,false
2011-04-07T08:23:00+09:00,W0800000,false
2011-04-07T09:59:20+09:00,W0800800,false
2011-04-07T10:00:00+09:00,W0000800,"R0FFFFFF\r"
2011-04-07T10:00:10+09:00,W0001800,"R0FFFFFF\r"
2011-04-07T10:00:27+09:00,W0000800,"R0FFFFFF\r"
2011-04-07T10:01:17+09:00,W0001800,"R0FFFFFF\r"
2011-04-07T10:23:00+09:00,W0801800,false
2011-04-07T10:57:24+09:00,W0800800,"R0FFFFFF\r"
